,industry,city,state,min_revenue,max_revenue,min_salary_estimate,max_salary_estimate,avg_salary_estimate,avg_revenue
0,Social Assistance,New York, NY,100,500,37000,66000,51500,300.0
1,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
3,IT Services,New York, NY,50,100,37000,66000,51500,75.0
4,Sports & Recreation,New York, NY,100,500,37000,66000,51500,300.0
7,Insurance Carriers,New York, NY,100,500,37000,66000,51500,300.0
8,Venture Capital & Private Equity,New York, NY,1000,2000,37000,66000,51500,1500.0
10,Health Care Services & Hospitals,New York, NY,5000,10000,37000,66000,51500,7500.0
12,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
13,Advertising & Marketing,New York, NY,100,500,37000,66000,51500,300.0
14,Brokerage Services,Jersey City, NJ,1,5,37000,66000,51500,3.0
17,Consulting,New York, NY,25,50,37000,66000,51500,37.5
18,Research & Development,New York, NY,100,500,37000,66000,51500,300.0
20,Internet,New York, NY,10000,10000,37000,66000,51500,10000.0
22,Investment Banking & Asset Management,New York, NY,5000,10000,37000,66000,51500,7500.0
23,Casual Restaurants,New York, NY,1,5,37000,66000,51500,3.0
25,Advertising & Marketing,New York, NY,1,1,37000,66000,51500,1.0
26,Internet,New York, NY,10,25,37000,66000,51500,17.5
28,Advertising & Marketing,New York, NY,1,5,37000,66000,51500,3.0
30,Consulting,Brooklyn, NY,25,50,46000,87000,66500,37.5
31,Enterprise Software & Network Solutions,Jersey City, NJ,1,5,46000,87000,66500,3.0
35,Banks & Credit Unions,New York, NY,10000,10000,46000,87000,66500,10000.0
37,Computer Hardware & Software,New York, NY,1,1,46000,87000,66500,1.0
38,Health Care Services & Hospitals,New York, NY,5000,10000,46000,87000,66500,7500.0
39,Social Assistance,New York, NY,10,25,46000,87000,66500,17.5
43,Staffing & Outsourcing,New York, NY,1,5,46000,87000,66500,3.0
45,Staffing & Outsourcing,New York, NY,500,1000,46000,87000,66500,750.0
46,Advertising & Marketing,New York, NY,1,1,46000,87000,66500,1.0
47,Advertising & Marketing,New York, NY,100,500,46000,87000,66500,300.0
49,IT Services,New York, NY,500,1000,46000,87000,66500,750.0
50,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
52,IT Services,Jersey City, NJ,100,500,46000,87000,66500,300.0
54,Staffing & Outsourcing,Weehawken, NJ,50,100,46000,87000,66500,75.0
56,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
57,Legal,New York, NY,500,1000,46000,87000,66500,750.0
59,Real Estate,New York, NY,25,50,46000,87000,66500,37.5
61,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
62,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
63,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
64,Staffing & Outsourcing,New York, NY,1000,2000,51000,88000,69500,1500.0
65,Internet,New York, NY,2000,5000,51000,88000,69500,3500.0
66,IT Services,New York, NY,1,5,51000,88000,69500,3.0
67,Investment Banking & Asset Management,New York, NY,500,1000,51000,88000,69500,750.0
69,IT Services,New York, NY,100,500,51000,88000,69500,300.0
70,Staffing & Outsourcing,New York, NY,50,100,51000,88000,69500,75.0
73,Investment Banking & Asset Management,New York, NY,10000,10000,51000,88000,69500,10000.0
74,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
76,TV Broadcast & Cable Networks,New York, NY,5000,10000,51000,88000,69500,7500.0
79,Staffing & Outsourcing,New York, NY,1,5,51000,88000,69500,3.0
83,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
84,Accounting,New York, NY,1,1,51000,88000,69500,1.0
86,IT Services,New York, NY,1,1,51000,88000,69500,1.0
87,Consulting,New York, NY,10,25,51000,88000,69500,17.5
89,Brokerage Services,New York, NY,500,1000,51000,88000,69500,750.0
91,Investment Banking & Asset Management,New York, NY,2000,5000,51000,87000,69000,3500.0
92,Consulting,New York, NY,500,1000,51000,87000,69000,750.0
93,IT Services,New York, NY,10,25,51000,87000,69000,17.5
