,job_title,rating,industry,city,state,min_revenue,max_revenue,min_salary_estimate,max_salary_estimate,avg_salary_estimate,avg_revenue
0,"Data Analyst, Center on Immigration and Justice (CIJ)",3.2,Social Assistance,New York, NY,100,500,37000,66000,51500,300.0
1,Quality Data Analyst,3.8,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
3,Data Analyst,4.1,IT Services,New York, NY,50,100,37000,66000,51500,75.0
4,Reporting Data Analyst,3.9,Sports & Recreation,New York, NY,100,500,37000,66000,51500,300.0
7,Data Science Analyst,3.7,Insurance Carriers,New York, NY,100,500,37000,66000,51500,300.0
8,Data Analyst,4.0,Venture Capital & Private Equity,New York, NY,1000,2000,37000,66000,51500,1500.0
10,Data Analyst,4.0,Health Care Services & Hospitals,New York, NY,5000,10000,37000,66000,51500,7500.0
12,DATA ANALYST,3.7,Health Care Services & Hospitals,New York, NY,2000,5000,37000,66000,51500,3500.0
13,Senior Data Analyst,3.0,Advertising & Marketing,New York, NY,100,500,37000,66000,51500,300.0
14,Investment Advisory Data Analyst,3.4,Brokerage Services,Jersey City, NJ,1,5,37000,66000,51500,3.0
17,Clinical Data Analyst,3.8,Consulting,New York, NY,25,50,37000,66000,51500,37.5
18,DATA PROGRAMMER/ANALYST,3.9,Research & Development,New York, NY,100,500,37000,66000,51500,300.0
20,"Product Analyst, Data Science",4.4,Internet,New York, NY,10000,10000,37000,66000,51500,10000.0
22,Data Analyst - Intex Developer,3.3,Investment Banking & Asset Management,New York, NY,5000,10000,37000,66000,51500,7500.0
23,Data Analyst,3.5,Casual Restaurants,New York, NY,1,5,37000,66000,51500,3.0
25,Data Analyst,4.0,Advertising & Marketing,New York, NY,1,1,37000,66000,51500,1.0
26,Data + Business Intelligence Analyst,5.0,Internet,New York, NY,10,25,37000,66000,51500,17.5
28,Data Analyst Entry Level,3.7,Advertising & Marketing,New York, NY,1,5,37000,66000,51500,3.0
30,Data Analyst,3.6,Consulting,Brooklyn, NY,25,50,46000,87000,66500,37.5
31,Data Analyst,3.6,Enterprise Software & Network Solutions,Jersey City, NJ,1,5,46000,87000,66500,3.0
35,Analyst/Associate Global Markets Credit Data Analyst,3.7,Banks & Credit Unions,New York, NY,10000,10000,46000,87000,66500,10000.0
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,3.6,Computer Hardware & Software,New York, NY,1,1,46000,87000,66500,1.0
38,Data Science Analyst/Engineer,4.0,Health Care Services & Hospitals,New York, NY,5000,10000,46000,87000,66500,7500.0
39,Data Analyst,4.6,Social Assistance,New York, NY,10,25,46000,87000,66500,17.5
43,Data Analyst -1+ year Contract - NYC,4.0,Staffing & Outsourcing,New York, NY,1,5,46000,87000,66500,3.0
45,Data Analyst,2.9,Staffing & Outsourcing,New York, NY,500,1000,46000,87000,66500,750.0
46,Advertising Data Analyst,4.0,Advertising & Marketing,New York, NY,1,1,46000,87000,66500,1.0
47,Data Analyst,3.6,Advertising & Marketing,New York, NY,100,500,46000,87000,66500,300.0
49,"Senior Analyst, Data Science",3.9,IT Services,New York, NY,500,1000,46000,87000,66500,750.0
50,"Senior Data Analyst, Disney+",4.0,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
52,Business Data Analyst,3.7,IT Services,Jersey City, NJ,100,500,46000,87000,66500,300.0
54,Data Scientist / Big Data Analytics Analyst,3.6,Staffing & Outsourcing,Weehawken, NJ,50,100,46000,87000,66500,75.0
56,"Principal Data Analyst, LATAM - Disney Streaming Services",4.0,Motion Picture Production & Distribution,New York, NY,10000,10000,46000,87000,66500,10000.0
57,Data Analyst II,3.2,Legal,New York, NY,500,1000,46000,87000,66500,750.0
59,Data Analyst,3.9,Real Estate,New York, NY,25,50,46000,87000,66500,37.5
61,Data Analyst - Data Acquisition / Data Lineage,3.6,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
62,Data Analyst - Data Scanning utilizing Rochade,3.6,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
63,Data Analyst - Stitching,3.6,IT Services,New York, NY,500,1000,51000,88000,69500,750.0
64,Junior Data Analyst,4.1,Staffing & Outsourcing,New York, NY,1000,2000,51000,88000,69500,1500.0
65,"Data Analyst, Retail Media",3.9,Internet,New York, NY,2000,5000,51000,88000,69500,3500.0
66,Data Analyst,3.0,IT Services,New York, NY,1,5,51000,88000,69500,3.0
67,Portfolio Data Analyst,3.7,Investment Banking & Asset Management,New York, NY,500,1000,51000,88000,69500,750.0
69,Data/Reporting Analyst,3.9,IT Services,New York, NY,100,500,51000,88000,69500,300.0
70,Data Analyst 2,3.7,Staffing & Outsourcing,New York, NY,50,100,51000,88000,69500,75.0
73,Data/Information Mgt Analyst,3.7,Investment Banking & Asset Management,New York, NY,10000,10000,51000,88000,69500,10000.0
74,Business Data Analyst,3.6,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
76,Media Science Big Data Analyst,3.5,TV Broadcast & Cable Networks,New York, NY,5000,10000,51000,88000,69500,7500.0
79,Data analyst with Python,4.0,Staffing & Outsourcing,New York, NY,1,5,51000,88000,69500,3.0
83,BA/Data Analyst,4.1,Staffing & Outsourcing,New York, NY,100,500,51000,88000,69500,300.0
84,Data Analyst Python,4.0,Accounting,New York, NY,1,1,51000,88000,69500,1.0
86,Data Analyst-BA,1.0,IT Services,New York, NY,1,1,51000,88000,69500,1.0
87,Data Analytics Solutions Analyst,3.1,Consulting,New York, NY,10,25,51000,88000,69500,17.5
89,Data Analyst,3.4,Brokerage Services,New York, NY,500,1000,51000,88000,69500,750.0
91,"Descriptive Analytics Data Analyst, IB",3.6,Investment Banking & Asset Management,New York, NY,2000,5000,51000,87000,69000,3500.0
92,Data Analyst,4.1,Consulting,New York, NY,500,1000,51000,87000,69000,750.0
93,Data Analyst,4.4,IT Services,New York, NY,10,25,51000,87000,69000,17.5
94,Data Analyst,3.8,Staffing & Outsourcing,Jersey City, NJ,2000,5000,51000,87000,69000,3500.0
95,Data Analyst,3.2,Consulting,New York, NY,1,5,51000,87000,69000,3.0
